accounting_period,column,line,item,amount
2011-04-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,71139191
2011-04-30,ASSET,7,Securities of euro area residents denominated in euro,27667501738
2011-04-30,ASSET,8,General government long term debt denominated in euro,7072911017
2011-04-30,ASSET,9,Intra-Eurosystem claims,1600050638
2011-04-30,ASSET,11,Other assets,2749093937
2011-04-30,LIABILITY,1,Banknotes in circulation,21555742270
2011-04-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,3971202528
2011-04-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2011-04-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,3651460971
2011-04-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,973170266
2011-04-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,24382676
2011-04-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,55701
2011-04-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,873186388
2011-04-30,LIABILITY,9,Intra-Eurosystem liabilities,93845913639
2011-04-30,LIABILITY,11,Other liabilities,1014014736
2011-04-30,LIABILITY,12,Provisions,2405819224
2011-04-30,LIABILITY,13,Revaluation accounts,3034066141
2011-04-30,LIABILITY,14,Capital and reserves,815444326
2011-05-31,ASSET,1,Gold and gold receivables,4781355409
2011-05-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,1010588654
2011-05-31,ASSET,3,Claims on euro area residents denominated in foreign currency,356523098
2011-05-31,ASSET,4,Claims on non-euro area residents denominated in euro,113481
2011-05-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,97531300000
2011-05-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,70062021
2011-05-31,ASSET,7,Securities of euro area residents denominated in euro,26592768206
2011-05-31,ASSET,8,General government long term debt denominated in euro,7051814333
2011-05-31,ASSET,9,Intra-Eurosystem claims,1600050638
2011-05-31,ASSET,11,Other assets,2681148820
2011-05-31,LIABILITY,1,Banknotes in circulation,21648851610
2011-05-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,2836306612
2011-05-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2011-05-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,3488973412
2011-05-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,959242689
2011-05-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,23263424
2011-05-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,55701
2011-05-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,873186388
2011-05-31,LIABILITY,9,Intra-Eurosystem liabilities,104511339916
2011-05-31,LIABILITY,11,Other liabilities,1081409222
2011-05-31,LIABILITY,12,Provisions,2403585219
2011-05-31,LIABILITY,13,Revaluation accounts,3034066141
2011-05-31,LIABILITY,14,Capital and reserves,815444326
2011-06-30,ASSET,1,Gold and gold receivables,4954011254
2011-06-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,1015360392
2011-06-30,ASSET,3,Claims on euro area residents denominated in foreign currency,337009668
2011-06-30,ASSET,4,Claims on non-euro area residents denominated in euro,113557
2011-06-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,103039600000
2011-06-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,71809136
2011-06-30,ASSET,7,Securities of euro area residents denominated in euro,36203316862
2011-06-30,ASSET,8,General government long term debt denominated in euro,6595619230
2011-06-30,ASSET,9,Intra-Eurosystem claims,1600050638
2011-06-30,ASSET,11,Other assets,2259762488
2011-06-30,LIABILITY,1,Banknotes in circulation,21881134095
2011-06-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,10715034535
2011-06-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2011-06-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,2482604890
2011-06-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,973512311
2011-06-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,24640582
2011-06-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,55392
2011-06-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,865832446
2011-06-30,LIABILITY,9,Intra-Eurosystem liabilities,111554167094
2011-06-30,LIABILITY,11,Other liabilities,1158681094
2011-06-30,LIABILITY,12,Provisions,2403139089
2011-06-30,LIABILITY,13,Revaluation accounts,3202407370
2011-06-30,LIABILITY,14,Capital and reserves,815444326
2011-07-31,ASSET,1,Gold and gold receivables,4954640923
2011-07-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,1026495068
2011-07-31,ASSET,3,Claims on euro area residents denominated in foreign currency,313731306
2011-07-31,ASSET,4,Claims on non-euro area residents denominated in euro,113636
2011-07-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,96293400000
2011-07-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,72928957
2011-07-31,ASSET,7,Securities of euro area residents denominated in euro,22186790507
2011-07-31,ASSET,8,General government long term debt denominated in euro,6595619230
2011-07-31,ASSET,9,Intra-Eurosystem claims,1600050638
2011-07-31,ASSET,11,Other assets,15595327058
2011-07-31,LIABILITY,1,Banknotes in circulation,22106596140
2011-07-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,6832406361
2011-07-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2011-07-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,4652005896
2011-07-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,974744993
2011-07-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,17768273
2011-07-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,55392
2011-07-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,865832446
2011-07-31,LIABILITY,9,Intra-Eurosystem liabilities,105519148345
2011-07-31,LIABILITY,11,Other liabilities,1250305996
2011-07-31,LIABILITY,12,Provisions,2402381785
2011-07-31,LIABILITY,13,Revaluation accounts,3202407370
2011-07-31,LIABILITY,14,Capital and reserves,815444326
2011-08-31,ASSET,1,Gold and gold receivables,4955847685
2011-08-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,1011587219
2011-08-31,ASSET,3,Claims on euro area residents denominated in foreign currency,335337824
2011-08-31,ASSET,4,Claims on non-euro area residents denominated in euro,113706
2011-08-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,93093900000
2011-08-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,71049256
2011-08-31,ASSET,7,Securities of euro area residents denominated in euro,22696194590
2011-08-31,ASSET,8,General government long term debt denominated in euro,6595619230
2011-08-31,ASSET,9,Intra-Eurosystem claims,1600050638
2011-08-31,ASSET,11,Other assets,22020806333
2011-08-31,LIABILITY,1,Banknotes in circulation,21954350485
2011-08-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,6365929292
2011-08-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2011-08-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,4399824536
2011-08-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,994683802
2011-08-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,21855776
2011-08-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,55392
2011-08-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,865832446
2011-08-31,LIABILITY,9,Intra-Eurosystem liabilities,109972041585
2011-08-31,LIABILITY,11,Other liabilities,1386546802
2011-08-31,LIABILITY,12,Provisions,2401534669
2011-08-31,LIABILITY,13,Revaluation accounts,3202407370
2011-08-31,LIABILITY,14,Capital and reserves,815444326
2011-09-30,ASSET,1,Gold and gold receivables,5729732985
2011-09-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,1102566539
2011-09-30,ASSET,3,Claims on euro area residents denominated in foreign currency,712487099
2011-09-30,ASSET,4,Claims on non-euro area residents denominated in euro,113752
2011-09-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,77758200000
2011-09-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,72264655
2011-09-30,ASSET,7,Securities of euro area residents denominated in euro,22900941728
2011-09-30,ASSET,8,General government long term debt denominated in euro,6636794696
2011-09-30,ASSET,9,Intra-Eurosystem claims,1600050638
2011-09-30,ASSET,11,Other assets,42161724896
2011-09-30,LIABILITY,1,Banknotes in circulation,22148888035
2011-09-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,5877345066
2011-09-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2011-09-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,4410939939
2011-09-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,1015968923
2011-09-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,18028790
2011-09-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,56693
2011-09-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,904721064
2011-09-30,LIABILITY,9,Intra-Eurosystem liabilities,115536155407
2011-09-30,LIABILITY,11,Other liabilities,1535425165
2011-09-30,LIABILITY,12,Provisions,2405870934
2011-09-30,LIABILITY,13,Revaluation accounts,4006032646
2011-09-30,LIABILITY,14,Capital and reserves,815444326
2011-10-31,ASSET,1,Gold and gold receivables,5729370014
2011-10-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,1056805245
2011-10-31,ASSET,3,Claims on euro area residents denominated in foreign currency,724022838
2011-10-31,ASSET,4,Claims on non-euro area residents denominated in euro,113752
2011-10-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,74340400000
2011-10-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,70911010
2011-10-31,ASSET,7,Securities of euro area residents denominated in euro,22957072873
2011-10-31,ASSET,8,General government long term debt denominated in euro,6636794696
2011-10-31,ASSET,9,Intra-Eurosystem claims,1600050638
2011-10-31,ASSET,11,Other assets,51846861152
2011-10-31,LIABILITY,1,Banknotes in circulation,22330792270
2011-10-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,3494000281
2011-10-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2011-10-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,4377979081
2011-10-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,1015969351
2011-10-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,17826101
2011-10-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,2784
2011-10-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,904721064
2011-10-31,LIABILITY,9,Intra-Eurosystem liabilities,123694147293
2011-10-31,LIABILITY,11,Other liabilities,1827245763
2011-10-31,LIABILITY,12,Provisions,2478241258
2011-10-31,LIABILITY,13,Revaluation accounts,4006032646
2011-10-31,LIABILITY,14,Capital and reserves,815444326
2011-11-30,ASSET,1,Gold and gold receivables,5728908707
2011-11-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,984457426
2011-11-30,ASSET,3,Claims on euro area residents denominated in foreign currency,776923845
2011-11-30,ASSET,4,Claims on non-euro area residents denominated in euro,113752
2011-11-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,73412500000
2011-11-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,70611645
2011-11-30,ASSET,7,Securities of euro area residents denominated in euro,23185635655
2011-11-30,ASSET,8,General government long term debt denominated in euro,6636794696
2011-11-30,ASSET,9,Intra-Eurosystem claims,1600050638
2011-11-30,ASSET,11,Other assets,58440859824
2011-11-30,LIABILITY,1,Banknotes in circulation,22419277145
2011-11-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,5255606178
2011-11-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2011-11-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,3265707903
2011-11-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,992283040
2011-11-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,15542126
2011-11-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,2606
2011-11-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,904721064
2011-11-30,LIABILITY,9,Intra-Eurosystem liabilities,128251422283
2011-11-30,LIABILITY,11,Other liabilities,1900118722
2011-11-30,LIABILITY,12,Provisions,3010698149
2011-11-30,LIABILITY,13,Revaluation accounts,4006032646
2011-11-30,LIABILITY,14,Capital and reserves,815444326
2011-12-31,ASSET,1,Gold and gold receivables,5770281682
2011-12-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,982306649
2011-12-31,ASSET,3,Claims on euro area residents denominated in foreign currency,1018555147
2011-12-31,ASSET,4,Claims on non-euro area residents denominated in euro,113867
2011-12-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,76159500000
2011-12-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,71745340
2011-12-31,ASSET,7,Securities of euro area residents denominated in euro,21149321189
2011-12-31,ASSET,8,General government long-term debt denominated in euro,6659874462
2011-12-31,ASSET,9,Intra-Eurosystem claims,1632798971
2011-12-31,ASSET,10,Items in course of settlement,317653
2011-12-31,ASSET,11,Other assets,54991468016
2011-12-31,LIABILITY,1,Banknotes in circulation,22957704380
2011-12-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,4703006264
2011-12-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2011-12-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,5553155243
2011-12-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,1041850236
2011-12-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,16178298
2011-12-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,2268
2011-12-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,928426952
2011-12-31,LIABILITY,9,Intra-Eurosystem liabilities,123244992854
2011-12-31,LIABILITY,10,Items in course of settlement,15074984
2011-12-31,LIABILITY,11,Other liabilities,1159632924
2011-12-31,LIABILITY,12,Provisions,3951100114
2011-12-31,LIABILITY,13,Revaluation accounts,4049716285
2011-12-31,LIABILITY,14,Capital and reserves,815442174
2012-01-31,ASSET,1,Gold and gold receivables,5762310041
2012-01-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,975591578
2012-01-31,ASSET,3,Claims on euro area residents denominated in foreign currency,871602593
2012-01-31,ASSET,4,Claims on non-euro area residents denominated in euro,113867
2012-01-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,73365000000
2012-01-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,70274566
2012-01-31,ASSET,7,Securities of euro area residents denominated in euro,21150236211
2012-01-31,ASSET,8,General government long term debt denominated in euro,6659874462
2012-01-31,ASSET,9,Intra-Eurosystem claims,1632798971
2012-01-31,ASSET,11,Other assets,58400478447
2012-01-31,LIABILITY,1,Banknotes in circulation,22446765585
2012-01-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,3002076688
2012-01-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2012-01-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,5817337979
2012-01-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,1041805828
2012-01-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,24646356
2012-01-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,2268
2012-01-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,928426952
2012-01-31,LIABILITY,9,Intra-Eurosystem liabilities,125552600423
2012-01-31,LIABILITY,11,Other liabilities,1258554287
2012-01-31,LIABILITY,12,Provisions,3950903761
2012-01-31,LIABILITY,13,Revaluation accounts,4049716285
2012-01-31,LIABILITY,14,Capital and reserves,815444324
2012-02-29,ASSET,1,Gold and gold receivables,5760696347
2012-02-29,ASSET,2,Claims on non-euro area residents denominated in foreign currency,975486376
2012-02-29,ASSET,3,Claims on euro area residents denominated in foreign currency,1270341472
2012-02-29,ASSET,4,Claims on non-euro area residents denominated in euro,113870
2012-02-29,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,49842000000
2012-02-29,ASSET,6,Other claims on euro area credit institutions denominated in euro,69762191
2012-02-29,ASSET,7,Securities of euro area residents denominated in euro,21479464480
2012-02-29,ASSET,8,General government long term debt denominated in euro,6659874462
2012-02-29,ASSET,9,Intra-Eurosystem claims,1632798971
2012-02-29,ASSET,11,Other assets,110205479647
2012-02-29,LIABILITY,1,Banknotes in circulation,22407393045
2012-02-29,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,30722839206
2012-02-29,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2012-02-29,LIABILITY,4,Liabilities to other euro area residents denominated in euro,5894442615
2012-02-29,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,1030682556
2012-02-29,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,29103610
2012-02-29,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,2268
2012-02-29,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,928426952
2012-02-29,LIABILITY,9,Intra-Eurosystem liabilities,126631940093
2012-02-29,LIABILITY,11,Other liabilities,1435521907
2012-02-29,LIABILITY,12,Provisions,3950504345
2012-02-29,LIABILITY,13,Revaluation accounts,4049716285
2012-02-29,LIABILITY,14,Capital and reserves,815444934
2012-03-31,ASSET,1,Gold and gold receivables,5889993582
2012-03-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,972642371
2012-03-31,ASSET,3,Claims on euro area residents denominated in foreign currency,393038185
2012-03-31,ASSET,4,Claims on non-euro area residents denominated in euro,113870
2012-03-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,78878000000
2012-03-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,71228077
2012-03-31,ASSET,7,Securities of euro area residents denominated in euro,20650558506
2012-03-31,ASSET,8,General government long term debt denominated in euro,6637511368
2012-03-31,ASSET,9,Intra-Eurosystem claims,1632798971
2012-03-31,ASSET,11,Other assets,49241834054
2012-03-31,LIABILITY,1,Banknotes in circulation,22475106580
2012-03-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,1532141561
2012-03-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2012-03-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,6431447911
2012-03-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,999252041
2012-03-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,34789593
2012-03-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,2197
2012-03-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,908081411
2012-03-31,LIABILITY,9,Intra-Eurosystem liabilities,121391362604
2012-03-31,LIABILITY,11,Other liabilities,1660231387
2012-03-31,LIABILITY,12,Provisions,3949524787
2012-03-31,LIABILITY,13,Revaluation accounts,4170333978
2012-03-31,LIABILITY,14,Capital and reserves,815444934
2012-04-30,ASSET,1,Gold and gold receivables,5890724653
2012-04-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,954654882
2012-04-30,ASSET,3,Claims on euro area residents denominated in foreign currency,379637890
2012-04-30,ASSET,4,Claims on non-euro area residents denominated in euro,113872
2012-04-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,62022500000
2012-04-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,59231405479
2012-04-30,ASSET,7,Securities of euro area residents denominated in euro,20474455025
2012-04-30,ASSET,8,General government long term debt denominated in euro,6637511368
2012-04-30,ASSET,9,Intra-Eurosystem claims,1632798971
2012-04-30,ASSET,11,Other assets,2993010045
2012-04-30,LIABILITY,1,Banknotes in circulation,22576147265
2012-04-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,2915046060
2012-04-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2012-04-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,6709297967
2012-04-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,1019159869
2012-04-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,34368142
2012-04-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,2197
2012-04-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,908081411
2012-04-30,LIABILITY,9,Intra-Eurosystem liabilities,115446017028
2012-04-30,LIABILITY,11,Other liabilities,1673211483
2012-04-30,LIABILITY,12,Provisions,3949701851
2012-04-30,LIABILITY,13,Revaluation accounts,4170333978
2012-04-30,LIABILITY,14,Capital and reserves,815444934
2012-05-31,ASSET,1,Gold and gold receivables,5890068872
2012-05-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,967471853
2012-05-31,ASSET,3,Claims on euro area residents denominated in foreign currency,365173286
2012-05-31,ASSET,4,Claims on non-euro area residents denominated in euro,113872
2012-05-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,3446945000
2012-05-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,124084666203
2012-05-31,ASSET,7,Securities of euro area residents denominated in euro,19659282994
2012-05-31,ASSET,8,General government long term debt denominated in euro,6637511368
2012-05-31,ASSET,9,Intra-Eurosystem claims,1632798971
2012-05-31,ASSET,11,Other assets,2873421903
2012-05-31,LIABILITY,1,Banknotes in circulation,22812589185
2012-05-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,2229571772
2012-05-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2012-05-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,5685547535
2012-05-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,1029804739
2012-05-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,37707360
2012-05-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,2197
2012-05-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,908081411
2012-05-31,LIABILITY,9,Intra-Eurosystem liabilities,122009039225
2012-05-31,LIABILITY,11,Other liabilities,1909378573
2012-05-31,LIABILITY,12,Provisions,3949907592
2012-05-31,LIABILITY,13,Revaluation accounts,4170333978
2012-05-31,LIABILITY,14,Capital and reserves,815490755
2012-06-30,ASSET,1,Gold and gold receivables,5904106537
2012-06-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,1007070168
2012-06-30,ASSET,3,Claims on euro area residents denominated in foreign currency,579645467
2012-06-30,ASSET,4,Claims on non-euro area residents denominated in euro,113872
2012-06-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,73660000000
2012-06-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,61944565743
2012-06-30,ASSET,7,Securities of euro area residents denominated in euro,19680072738
2012-06-30,ASSET,8,General government long term debt denominated in euro,6205596665
2012-06-30,ASSET,9,Intra-Eurosystem claims,1632798971
2012-06-30,ASSET,11,Other assets,2756977090
2012-06-30,LIABILITY,1,Banknotes in circulation,23089772900
2012-06-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,3332043879
2012-06-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2012-06-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,5586549695
2012-06-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,1058022595
2012-06-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,45545500
2012-06-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,2331
2012-06-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,943213103
2012-06-30,LIABILITY,9,Intra-Eurosystem liabilities,128267416663
2012-06-30,LIABILITY,11,Other liabilities,2106733853
2012-06-30,LIABILITY,12,Provisions,3950111908
2012-06-30,LIABILITY,13,Revaluation accounts,4176040605
2012-06-30,LIABILITY,14,Capital and reserves,815494219
2012-07-31,ASSET,1,Gold and gold receivables,5904930903
2012-07-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,1034522891
2012-07-31,ASSET,3,Claims on euro area residents denominated in foreign currency,515850587
2012-07-31,ASSET,4,Claims on non-euro area residents denominated in euro,23872
2012-07-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,23998000000
2012-07-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,106315345333
2012-07-31,ASSET,7,Securities of euro area residents denominated in euro,20310657243
2012-07-31,ASSET,8,General government long term debt denominated in euro,6205596665
2012-07-31,ASSET,9,Intra-Eurosystem claims,1632798971
2012-07-31,ASSET,11,Other assets,2717663760
2012-07-31,LIABILITY,1,Banknotes in circulation,23196316440
2012-07-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,3652208489
2012-07-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2012-07-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,5012604484
2012-07-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,1043083027
2012-07-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,42324598
2012-07-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,2331
2012-07-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,943213103
2012-07-31,LIABILITY,9,Intra-Eurosystem liabilities,123907327013
2012-07-31,LIABILITY,11,Other liabilities,1933459303
2012-07-31,LIABILITY,12,Provisions,3913316613
2012-07-31,LIABILITY,13,Revaluation accounts,4176040605
2012-07-31,LIABILITY,14,Capital and reserves,815494219
2012-08-31,ASSET,1,Gold and gold receivables,5906289310
2012-08-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,1019068552
2012-08-31,ASSET,3,Claims on euro area residents denominated in foreign currency,486214932
2012-08-31,ASSET,4,Claims on non-euro area residents denominated in euro,23872
2012-08-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,30864400000
2012-08-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,100830133421
2012-08-31,ASSET,7,Securities of euro area residents denominated in euro,19943020463
2012-08-31,ASSET,8,General government long term debt denominated in euro,6205596665
2012-08-31,ASSET,9,Intra-Eurosystem claims,1632798971
2012-08-31,ASSET,11,Other assets,2706268791
2012-08-31,LIABILITY,1,Banknotes in circulation,23159372390
2012-08-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,2168400552
2012-08-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,95000000
2012-08-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,5597828362
2012-08-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,1071265492
2012-08-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,40448822
2012-08-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,2331
2012-08-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,943213103
2012-08-31,LIABILITY,9,Intra-Eurosystem liabilities,125425850828
2012-08-31,LIABILITY,11,Other liabilities,2187130386
2012-08-31,LIABILITY,12,Provisions,3913767833
2012-08-31,LIABILITY,13,Revaluation accounts,4176040605
2012-08-31,LIABILITY,14,Capital and reserves,815494273
2012-09-30,ASSET,1,Gold and gold receivables,6528846746
2012-09-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,1021656771
2012-09-30,ASSET,3,Claims on euro area residents denominated in foreign currency,445882189
